"CURRENT ON-HAND (as of 2026-09-19) Shipment ID","Warehouse","Date Landed","Jello Qty Received","Jello Cumulative Received","Jello Landed Cost/unit","Jello Qty Remaining","Jello Value Remaining","Mixer Qty Received","Mixer Cumulative Received","Mixer Landed Cost/unit","Mixer Qty Remaining","Mixer Value Remaining","Straw Qty Received","Straw Cumulative Received","Straw Landed Cost/unit","Straw Qty Remaining","Straw Value Remaining","","Warehouse","SKU","Qty On Hand","Value On Hand","Weighted Cost/unit","Oversold Qty"
"PO1-Wave1-Jello","FF","2026-07-06","50040","50040","2.0259266586730615","0","0","","","","","","","","","","","","FF","Jello","228585","285027.5874696792","1.246921659206331","0"
"PO1-Wave1-Mixer","FF","2026-07-06","","","","","","4450","4450","1.2234068314606743","353","431.862611505618","","","","","","","FF","Mixer","15603","20497.81341150562","1.3137097616808062","0"
"PO1-Wave1-Straw","FF","2026-07-06","","","","","","","","","","","11600","11600","0.8776983103448276","0","0","","FF","Straw","31699","12702.627115384614","0.4007264303411658","0"
"PO1-Wave2-Jello","FF","2026-07-08","48000","98040","2.0284893750000004","0","0","","","","","","","","","","","","Mutual","Jello","12227","13621.782159999999","1.1140739478203974","0"
"PO1-Wave2-Mixer","FF","2026-07-08","","","","","","1800","6250","1.2479053333333334","1800","2246.2296","","","","","","","Mutual","Mixer","448","616.4480000000001","1.3760000000000001","0"
"PO1-Wave2-Straw","FF","2026-07-08","","","","","","","","","","","9500","21100","0.9100076842105264","0","0","","Mutual","Straw","2953","518.07432","0.17543999999999998","0"
"PO1-Wave3","FF","2026-07-27","32040","130080","2.0250299625468164","0","0","","","","","","","","","","","","","","","","",""
"PO1-Wave4-Container1 WAE2026071000047","FF","2026-08-08","89760","219840","1.3506100713012479","61425","82961.22362967915","","","","","","","","","","","","","","","","",""
"PO1-Wave4-Container2-Jello","FF","2026-09-03","73560","293400","1.3339263186514412","73560","98123.62000000001","","","","","","","","","","","","","","","","",""
"PO1-Wave4-Container2-Mixer","FF","2026-09-03","","","","","","8350","19700","0.8147893652694611","8350","6803.4912","","","","","","","","","","","",""
"PO1-Wave4-Container2-Straw","FF","2026-09-03","","","","","","","","","","","23900","58000","0.3554471380753138","23900","8495.186599999999","","","","","","",""
"PO2-Air-Urgent-Mixer","FF","2026-08-11","","","","","","5100","11350","2.160045098039216","5100","11016.230000000001","","","","","","","","","","","",""
"PO2-Air-Urgent-Straw","FF","2026-08-11","","","","","","","","","","","13000","34100","0.5394846153846153","7799","4207.440515384615","","","","","","",""
"PO2-Jello-Mutual","Mutual","2026-09-13","6400","31944","1.1104994","6400","7107.1961599999995","","","","","","","","","","","","","","","","",""
"PO2-Jello-Wave1","FF","2026-09-17","24000","317400","1.1104994","24000","26651.985599999996","","","","","","","","","","","","","","","","",""
"PO2-Jello-Wave2","FF","2026-09-18","69600","387000","1.1104994","69600","77290.75824","","","","","","","","","","","","","","","","",""
"Mutual-ProcWare-Jello","Mutual","2026-06-29","17984","17984","2.0468","0","0","","","","","","","","","","","","","","","","",""
"Mutual-ProcWare-Mixer","Mutual","2026-06-29","","","","","","186","186","2.2876000000000003","0","0","","","","","","","","","","","",""
"Mutual-ProcWare-Straw","Mutual","2026-06-29","","","","","","","","","","","2811","2811","0.4042","0","0","","","","","","",""
"Mutual-PO1-Mixers","Mutual","2026-07-11","","","","","","100","286","0.708472","0","0","","","","","","","","","","","",""
"Mutual-Urgent-Mixers","Mutual","2026-07-19","","","","","","300","586","0.708472","0","0","","","","","","","","","","","",""
"Mutual-PO2-Delivered","Mutual","2026-08-08","","","","","","","","","","","3240","6051","0.17543999999999998","2953","518.07432","","","","","","",""
"Mutual-PO1-Leftovers","Mutual","2026-07-28","7560","25544","1.118","5827","6514.586","","","","","","","","","","","","","","","","",""
"PO3 Jello","","","","","","","","","","","","","","","","","","","","","","","",""
"Mutual-PO2-Delivered","Mutual","2026-08-08","","","","","","700","1286","1.3760000000000001","448","616.4480000000001","","","","","","","","","","","",""
