"Shipment ID (Wave)","Warehouse","SKU","Qty","Product Cost/unit","Logistics Cost/unit","Total Cost/unit","Total Cost/unit (minus recoverable EUST/VAT)"
"PO1-Wave1-Jello","FF","Jello","50040","1.118","1.1954730215827338","2.313473021582734","2.0259266586730615"
"PO1-Wave1-Mixer","FF","Mixer","4450","0.708472","0.7375348314606742","1.4460068314606742","1.2234068314606743"
"PO1-Wave1-Straw","FF","Straw","11600","0.21509399999999998","0.8246215517241379","1.0397155517241379","0.8776983103448276"
"PO1-Wave2-Jello","FF","Jello","48000","1.118","1.198520625","2.316520625","2.0284893750000004"
"PO1-Wave2-Mixer","FF","Mixer","1800","0.708472","0.7656055555555557","1.4740775555555556","1.2479053333333334"
"PO1-Wave2-Straw","FF","Straw","9500","0.21509399999999998","0.8621221052631579","1.077216105263158","0.9100076842105264"
"PO1-Wave3","FF","Jello","32040","1.118","1.1943171036204743","2.312317103620474","2.0250299625468164"
"PO1-Wave4-Container1 WAE2026071000047","FF","Jello","89760","1.118","0.294350935828877","1.412350935828877","1.3506100713012479"
"PO1-Wave4-Container2-Jello","FF","Jello","73560","1.118","0.2962185970636216","1.4142185970636216","1.3339263186514412"
"PO1-Wave4-Container2-Mixer","FF","Mixer","8350","0.708472","0.18196167664670657","0.8904336766467066","0.8147893652694611"
"PO1-Wave4-Container2-Straw","FF","Straw","23900","0.21509399999999998","0.17350711297071134","0.3886011129707113","0.3554471380753138"
"PO2-Air-Urgent-Mixer","FF","Mixer","5100","1.3760000000000001","1.196356862745098","2.572356862745098","2.160045098039216"
"PO2-Air-Urgent-Straw","FF","Straw","13000","0.17543999999999998","0.46669769230769226","0.6421376923076922","0.5394846153846153"
"PO2-Jello-Mutual","Mutual","Jello","6400","1.1104994","0","1.1104994","1.1104994"
"PO2-Jello-Wave1","FF","Jello","24000","1.1104994","0","1.1104994","1.1104994"
"PO2-Jello-Wave2","FF","Jello","69600","1.1104994","0","1.1104994","1.1104994"
"Mutual-ProcWare-Jello","Mutual","Jello","17984","2.0468","0","2.0468","2.0468"
"Mutual-ProcWare-Mixer","Mutual","Mixer","186","2.2876000000000003","0","2.2876000000000003","2.2876000000000003"
"Mutual-ProcWare-Straw","Mutual","Straw","2811","0.4042","0","0.4042","0.4042"
"Mutual-PO1-Mixers","Mutual","Mixer","100","0.708472","0","0.708472","0.708472"
"Mutual-Urgent-Mixers","Mutual","Mixer","300","0.708472","0","0.708472","0.708472"
"Mutual-PO2-Delivered","Mutual","Straw","3240","0.17543999999999998","0","0.17543999999999998","0.17543999999999998"
"Mutual-PO1-Leftovers","Mutual","Jello","7560","1.118","0","1.118","1.118"
"Mutual-PO2-Delivered","Mutual","Mixer","3240","1.3760000000000001","0","1.3760000000000001","1.3760000000000001"
