"PO#","Vendor","SKU","Planned Qty — FF","Planned Qty — Mutual","Planned Ready Date","Actual Ready Date","Qty ordered","Qty Produced","Qty Remaining to Produce","Qty Remaining to Ship","EXW/unit","Lab-Test Amount","Inspection Amount","Add-on Amount","Total PO value","Full Factory Cost/unit","Currency","Order date","Payment 1 — Amount","Payment 1 — Planned Date","Payment 1 — Actual Date","Payment 1 — Days Late","Payment 1 — Paid?","Payment 2 — Amount","Payment 2 — Planned Date","Payment 2 — Actual Date","Payment 2 — Days Late","Payment 2 — Paid?","Payment 3 — Amount","Payment 3 — Planned Date","Payment 3 — Actual Date","Payment 3 — Days Late","Payment 3 — Paid?","Payments Sum Check","Match?","Payment Status","Status","Contract Link","Invoice Link","Add-on Link","Standard Landed Cost/unit — FF","Standard Landed Cost/unit — Mutual","Actual Landed Cost/unit — FF","Actual Landed Cost/unit — Mutual","PPV/unit — FF","PPV/unit — Mutual","PPV % — FF","PPV % — Mutual","PPV — Freight","PPV — Duty","PPV — Factory","PPV Trigger — FF","PPV Trigger — Mutual"
"Procware Heritage","Procware","Jello","0","17984","","","17984","","17984","0","2.0468","","","","36809.6512","2.0468","EUR","2026-06-16","36809.6512","2026-06-16","","95","FALSE","","","","","FALSE","","","","","FALSE","36809.6512","OK","Not Paid","Closed","","","","","","","2.0468","","","","","","","","",""
"Procware Heritage","Procware","Mixer","0","186","","","186","","186","0","2.2876000000000003","","","","425.4936000000001","2.2876000000000003","EUR","2026-06-16","425.4936","2026-06-16","","95","FALSE","","","","","FALSE","","","","","FALSE","425.4936","OK","Not Paid","Closed","","","","","","","2.2876000000000003","","","","","","","","",""
"Procware Heritage","Procware","Straw","0","2811","","","2811","","2811","0","0.4042","","","","1136.2062","0.4042","EUR","2026-06-16","1136.2062","2026-06-16","","95","FALSE","","","","","FALSE","","","","","FALSE","1136.2062","OK","Not Paid","Closed","","","","","","","0.4042","","","","","","","","",""
"PO1 Jello","Guangzhou Lvmengkang","Jello","293400","7560","","","300960","","300960","0","1.0781275917065392","","","12000","336473.28","1.118","EUR","2026-05-25","171271.88","2026-05-11","2026-05-11","0","TRUE","65939","2026-06-28","2026-06-28","0","TRUE","99262.4","2026-09-14","","5","FALSE","336473.28","OK","Partially Paid","Closed","","","","","","1.6461526925698706","1.1179999999999999","","","","","","","","",""
"PO1 Mixer","Jieyang Hardware","Mixer","14600","400","","","15000","","15000","0","0.708472","","","","10627.08","0.708472","EUR","2026-05-18","3178.92","2026-05-18","2026-05-18","0","TRUE","7448.16","2026-06-12","2026-06-12","0","TRUE","","","","","FALSE","10627.08","OK","Fully Paid","Closed","","","","","","0.992731589041096","0.708472","","","","","","","","",""
"PO1 Straw","Jiangsu Rikang Glass","Straw","45000","0","","","45000","","45000","0","0.21509399999999998","","","","9679.23","0.21509399999999998","EUR","2026-04-30","2903.64","2026-04-30","","142","FALSE","6775.59","2026-06-12","2026-06-12","0","TRUE","","","","","FALSE","9679.23","OK","Partially Paid","Closed","","","","","","0.6071457777777777","","","","","","","","","",""
"PO2 Jello","Guangzhou Lvmengkang","Jello","93600","6400","","","100000","","100000","0","1.1104994","","","","111049.93999999999","1.1104994","EUR","2026-07-06","33315","2026-07-07","2026-07-17","10","TRUE","33320","2026-08-31","2026-08-31","0","TRUE","44414.94","2026-11-15","","","FALSE","111049.94","OK","Partially Paid","Partially Shipped","","","","","","1.1104994","1.1104994","","","","","","","","",""
"PO2 Mixer","Ningbo Xianger","Mixer","5100","700","","","5800","","5800","0","1.3760000000000001","","","","7980.800000000001","1.3760000000000001","EUR","2026-07-01","2438.41","2026-07-01","","80","FALSE","4788.48","2026-08-31","","19","FALSE","753.91","2026-09-30","","","FALSE","7980.799999999999","OK","Not Paid","Closed","","","","","","2.160045098039216","1.3760000000000001","","","","","","","","",""
"PO2 Straw","Jiangsu Rikang Glass","Straw","13000","3240","","","16240","","16240","0","0.17543999999999998","","","","2849.1456","0.17543999999999998","EUR","2026-06-29","569.82912","2026-07-06","2026-07-06","0","TRUE","2279.31648","2026-08-10","","40","FALSE","","","","","FALSE","2849.1456","OK","Partially Paid","Closed","","","","","","0.5394846153846153","0.17543999999999998","","","","","","","","",""
"PO3 Jello","Guangzhou Lvmengkang","Jello","93600","6400","","","100000","","100000","6400","1.28269","","","","128269.00000000001","1.28269","EUR","2026-09-09","76961.4","2026-09-08","2026-09-09","1","TRUE","76961.4","2026-10-08","2026-09-09","-29","TRUE","102615.2","2026-11-20","","","FALSE","256538","MISMATCH","Partially Paid","In Production","","","","","","","","","","","","","","","",""
"PO3 Mixer","Ningbo Xianger","Mixer","0","5400","","","5400","","5400","5400","1.376","","","","7430.4","1.376","EUR","2026-08-05","2229.12","2026-08-05","","45","FALSE","5201.28","2026-09-13","","6","FALSE","","","","","FALSE","7430.4","OK","Not Paid","In Production","","","","","","","","","","","","","","","",""
"PO3 Mixer (P2)","Ningbo Xianger","Mixer","21400","0","","","21400","","21400","21400","1.3760000000000001","","","","29446.4","1.3760000000000001","EUR","2026-09-09","8833.92","2026-09-09","","10","FALSE","20612.48","2026-10-12","","","FALSE","","","","","FALSE","29446.4","OK","Not Paid","In Production","","","","","","","","","","","","","","","",""
"PO3 Straw","Jiangsu Rikang Glass","Straw","80143","9905","","","90048","","90048","90048","0.17543999999999998","","","","15798.02112","0.17543999999999998","EUR","2026-08-05","3187.13","2026-08-12","2026-08-12","0","TRUE","12610.89112","2026-09-10","","9","FALSE","","","","","FALSE","15798.021120000001","OK","Partially Paid","In Production","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","0","","","","","","","","","","","","","","","","","","",""
