"Shipment ID","PO#","Wave#","Ship method","Planned Warehouse","Actual Warehouse","Depart Date (planned)","Actual Depart Date","ETA (planned)","Projected ETA","Effective ETA","Actual Arrival Date","Jello Qty","Mixer Qty","Straw Qty","Payment 1 (Freight) — Amount","Payment 1 (Freight) — Planned Date","Payment 1 (Freight) — Actual Date","Payment 1 (Freight) — Paid?","Payment 2 (Freight) — Amount","Payment 2 (Freight) — Planned Date","Payment 2 (Freight) — Actual Date","Payment 2 (Freight) — Paid?","Customs — Estimated Amount","Customs — Amount","Customs — Planned Date","Customs — Actual Date","Customs — Paid?","Customs Status","Quote Link","Quote Date","Invoice Link","Invoice Date","Customs Invoice Link","Customs Invoice Date","Customs Declaration Link","Total Qty","Projected Shipping+Taxes Cost/unit","Customs Declared Value/unit","Actual — Delivery","Actual — Admin Fees","Actual — Duty (non-refundable)","Implied Duty Rate","Actual — EUST (refundable)","Actual — VAT (refundable)","Gross Cost/unit","Net Cost/unit"
"PO1-Wave1-Jello","PO1 Jello","Wave1","Air","FF","FF","","2026-06-23","2026-07-06","","2026-07-06","2026-07-06","50040","","","38349.51","2026-07-09","","FALSE","","","","FALSE","","23425.65","2026-07-09","","FALSE","Cleared","","","","2026-07-09","","2026-07-09","","50040","0.7673863044781385","0.75","36395.82","1953.69","7083.14","0.18873274713562485","13577.96","810.86","1.1954730215827338","0.9079266586730615"
"PO1-Wave1-Mixer","PO1 Mixer","Wave1","Air","FF","FF","","2026-06-23","2026-07-06","","2026-07-06","2026-07-06","","4450","","2148.85","2026-07-09","","FALSE","","","","FALSE","","1254.6200000000001","2026-07-09","","FALSE","Cleared","","","","2026-07-09","","2026-07-09","","4450","0.7673863044781385","0.7052","2027.41","121.44","142.61","0.04544411657861026","952.11","38.46","0.7375348314606742","0.5149348314606742"
"PO1-Wave1-Straw","PO1 Straw","Wave1","Air","FF","FF","","2026-06-23","2026-07-06","","2026-07-06","2026-07-06","","","11600","7121.89","2026-07-09","","FALSE","","","","FALSE","","2846.21","2026-07-09","","FALSE","Cleared","","","","2026-07-09","","2026-07-09","","11600","0.7673863044781385","0.2141","6719.4","402.49","564.32","0.2272222132744931","1751.92","127.48","0.8246215517241379","0.6626043103448276"
"PO1-Wave2-Jello","PO1 Jello","Wave2","Air","FF","FF","","2026-06-24","2026-07-08","","2026-07-08","2026-07-08","48000","","","36907.98","2026-07-09","","FALSE","","","","FALSE","","22513.07","2026-07-09","","FALSE","Cleared","","","","2026-07-09","","2026-07-09","","48000","0.7673863044781385","0.75","35015.92","1892.06","6795.51","0.18876416666666668","13026.35","799.15","1.198520625","0.910489375"
"PO1-Wave2-Mixer","PO1 Mixer","Wave2","Air","FF","FF","","2026-06-24","2026-07-08","","2026-07-08","2026-07-08","","1800","","904.66","2026-07-09","","FALSE","","","","FALSE","","530.3","2026-07-09","","FALSE","Cleared","","","","2026-07-09","","2026-07-09","","1800","0.7673863044781385","0.7052","847.79","56.87","66.32","0.05224680153778281","390.13","16.98","0.7656055555555557","0.5394333333333334"
"PO1-Wave2-Straw","PO1 Straw","Wave2","Air","FF","FF","","2026-06-24","2026-07-08","","2026-07-08","2026-07-08","","","9500","6070.36","2026-07-09","","FALSE","","","","FALSE","","2501.3999999999996","2026-07-09","","FALSE","Cleared","","","","2026-07-09","","2026-07-09","","9500","0.7673863044781385","0.2141","5688.76","381.6","531.32","0.26122569384694805","1474.53","113.95","0.8621221052631579","0.6949136842105264"
"PO1-Wave3","PO1 Jello","Wave3","Air","FF","FF","","2026-07-01","2026-07-15","","2026-07-15","2026-07-27","32040","","","19056.71","2026-07-21","2026-07-21","TRUE","19209.21","2026-07-23","2026-07-23","TRUE","","15092.83","2026-07-23","","FALSE","Cleared","","","","2026-07-23","","2026-07-23","","32040","0.7673863044781385","0.75","23173.09","1272.96","4615.19","0.19205950894714938","8778.01","426.67","1.1943171036204743","0.9070299625468163"
"PO1-Wave4-Container1 WAE2026071000047","PO1 Jello","Wave4","Rail","FF","FF","","2026-07-14","2026-08-23","","2026-08-23","2026-08-08","89760","","","5984.99","2026-08-10","2026-08-10","TRUE","5761.38","2026-08-21","2026-08-21","TRUE","","14867.330000000002","2026-08-21","2026-08-21","TRUE","Cleared","","","","2026-08-21","","2026-08-21","","89760","0.23650958062747912","0.75","11553.61","549.03","8776.44","0.13036898395721927","5474.17","67.69","0.294350935828877","0.23261007130124778"
"PO1-Wave4-Container2-Jello","PO1 Jello","Wave4","Rail","FF","FF","","2026-08-12","2026-08-31","","2026-08-31","2026-09-03","73560","","","8536.77","2026-08-28","","FALSE","","","","FALSE","","13393.53","2026-08-28","","FALSE","Cleared","","","","2026-08-28","","2026-08-28","","73560","0.23650958062747912","0.75","8396.31","418.04","7069.19","0.12813467464201558","5853.56","52.74","0.2962185970636216","0.21592631865144105"
"PO1-Wave4-Container2-Mixer","PO1 Mixer","Wave4","Rail","FF","FF","","2026-08-12","2026-08-31","","2026-08-31","2026-09-03","","8350","","689.82","2026-08-28","","FALSE","","","","FALSE","","840.91","2026-08-28","","FALSE","Cleared","","","","2026-08-28","","2026-08-28","","8350","0.23650958062747912","0.7052","678.47","33.76","175.52","0.02980765638320636","627.37","4.26","0.18196167664670657","0.10631736526946106"
