"Date","Jello IN","Jello Batch","Jello /day","Jello Stock","Jello Trans d","Jello Prod d","Jello Stk d","Jello Pipeline d","Mixer IN","Mixer Batch","Mixer /day","Mixer Stock","Mixer Trans d","Mixer Prod d","Mixer Stk d","Mixer Pipeline d","Straw IN","Straw Batch","Straw /day","Straw Stock","Straw Trans d","Straw Prod d","Straw Stk d","Straw Pipeline d","Status","","SKU","Actual/day","Plan/day","Rate Δ%"
"2026-06-16","0","","152","0","13","","0","13","0","","6","0","13","","0","13","0","","21","0","13","","0","13","🚨 STOCKOUT","","Jello","193.42857142857142","217.71428571428572","-0.11154855643044628"
"2026-06-17","0","","188","-152","12","","0","12","0","","8","-6","12","","0","12","0","","27","-21","12","","0","12","🚨 STOCKOUT","","Mixer","7.142857142857143","13.142857142857142","-0.45652173913043476"
"2026-06-18","0","","159","-340","11","","0","11","0","","7","-14","11","","0","11","0","","25","-48","11","","0","11","🚨 STOCKOUT","","Straw","32","38.142857142857146","-0.16104868913857684"
"2026-06-19","0","","158","-499","10","","0","10","0","","7","-21","10","","0","10","0","","29","-73","10","","0","10","🚨 STOCKOUT","","","","",""
"2026-06-20","0","","178","-657","9","","0","9","0","","7","-28","9","","0","9","0","","30","-102","9","","0","9","🚨 STOCKOUT","","","","",""
"2026-06-21","0","","198","-835","8","","0","8","0","","8","-35","8","","0","8","0","","33","-132","8","","0","8","🚨 STOCKOUT","","📦 Coverage today (days)","","",""
"2026-06-22","0","","126","-1033","7","","0","7","0","","1","-43","7","","0","7","0","","15","-165","7","","0","7","🚨 STOCKOUT","","Warehouse (Stk d)","69","41","102"
"2026-06-23","0","","196","-1159","6","","0","6","0","","0","-44","6","","0","6","0","","0","-180","6","","0","6","🚨 STOCKOUT","","Transit (Trans d)","0","0","0"
"2026-06-24","0","","148","-1355","5","","0","5","0","","0","-44","5","","0","5","0","","0","-180","5","","0","5","🚨 STOCKOUT","","Production (Prod d)","","",""
"2026-06-25","0","","185","-1503","4","","0","4","0","","3","-44","4","","0","4","0","","7","-180","4","","0","4","🚨 STOCKOUT","","","","",""
"2026-06-26","0","","183","-1688","3","","0","3","0","","4","-47","3","","0","3","0","","33","-187","3","","0","3","🚨 STOCKOUT","","","","",""
"2026-06-27","0","","327","-1871","2","","0","2","0","","16","-51","2","","0","2","0","","61","-220","2","","0","2","🚨 STOCKOUT","","","","",""
"2026-06-28","0","","395","-2198","1","","0","1","0","","22","-67","1","","0","1","0","","71","-281","1","","0","1","🚨 STOCKOUT","","","","",""
"2026-06-29","17984","Mutual-ProcWare-Jello","202","-2593","0","","0","0","186","Mutual-ProcWare-Mixer","9","-89","0","","0","0","2811","Mutual-ProcWare-Straw","35","-352","0","","0","0","🚨 STOCKOUT","","","","",""
