"Transaction ID","Due/Scheduled date","Date paid","Type","Amount","Currency","FX rate on transaction date","Amount (EUR)","Counterparty","Expense category","Channel/warehouse","Status","Reconciled","Supporting document","Notes","PO#/Shipment Ref"
"TXN-0001","2026-06-27","2026-06-27","vendor payment","166.57","EUR","","166.57","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","166.57 EUR_26.06.2026_Hangzhou Miqiu Internet Technology Co., Ltd.pdf","",""
"TXN-0002","2026-06-27","2026-06-27","vendor payment","3534.78","EUR","","3534.78","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","3534.78 EUR_26.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd (1).pdf","",""
"TXN-0003","2026-06-27","2026-06-27","vendor payment","1738.82","EUR","","1738.82","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","1738.82 EUR _26.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd (1).pdf","",""
"TXN-0004","2026-06-27","2026-06-27","vendor payment","639.82","EUR","","639.82","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","639,82 EUR_27.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0005","2026-07-02","2026-07-02","vendor payment","1906.55","EUR","","1906.55","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","1906.55 EUR_29.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0006","2026-07-02","2026-07-02","vendor payment","458.55","EUR","","458.55","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","458,55 EUR_01.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0007","2026-07-02","2026-07-02","vendor payment","118.97","EUR","","118.97","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","118.97 EUR_02.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0008","2026-07-02","2026-07-02","vendor payment","618.63","EUR","","618.63","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","618.63 EUR_30.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0009","2026-07-09","2026-07-09","vendor payment","1660.84","EUR","","1660.84","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","1660.84 EUR_06.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0010","2026-07-09","2026-07-09","vendor payment","893.26","EUR","","893.26","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","893.26 EUR_07.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0011","2026-07-09","2026-07-09","vendor payment","613.39","EUR","","613.39","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","613,39 EUR_08.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0012","2026-07-09","2026-07-09","vendor payment","115.97","EUR","","115.97","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","115.97 EUR_03.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0013","2026-07-09","2026-07-09","vendor payment","435.95","EUR","","435.95","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","435.95 EUR_04.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0014","2026-07-09","2026-07-09","vendor payment","603.96","EUR","","603.96","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","603.96 EUR_09.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0015","2026-07-16","2026-07-16","vendor payment","10.17","EUR","","10.17","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","10,17 EUR_10.07.2026_Hangzhou Miqiu Internet Technology Co., Ltd.pdf","",""
"TXN-0016","2026-07-16","2026-07-16","vendor payment","794.96","EUR","","794.96","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","794.96 EUR_14.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0017","2026-07-16","2026-07-16","vendor payment","2349.31","EUR","","2349.31","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","2349.31 EUR_13.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0018","2026-07-16","2026-07-16","vendor payment","779.65","EUR","","779.65","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","779.65 EUR_16.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0019","2026-07-16","2026-07-16","vendor payment","883.51","EUR","","883.51","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","883.51 EUR_15.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0020","2026-07-16","2026-07-16","vendor payment","709.62","EUR","","709.62","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","709,62 EUR_10.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0021","2026-07-23","2026-07-23","vendor payment","571.98","EUR","","571.98","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","571.98 EUR_22.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0022","2026-07-23","2026-07-23","vendor payment","598.4","EUR","","598.4","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","598.40 EUR_23.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0023","2026-07-23","2026-07-23","vendor payment","609.29","EUR","","609.29","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","609.29 EUR_17.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0024","2026-07-23","2026-07-23","vendor payment","686.44","EUR","","686.44","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","686,44 EUR_18.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0025","2026-07-23","2026-07-23","vendor payment","13.68","EUR","","13.68","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","13.68 EUR_20.07.2026_Hangzhou Miqiu Internet Technology Co., Ltd.pdf","",""
"TXN-0026","2026-07-23","2026-07-23","vendor payment","1431.35","EUR","","1431.35","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","1431,35 EUR_20.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0027","2026-07-23","2026-07-23","vendor payment","778.07","EUR","","778.07","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","778,07 EUR_21.0.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0028","2026-07-30","2026-07-30","vendor payment","2999.22","EUR","","2999.22","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","2999.22 EUR__27.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0029","2026-07-30","2026-07-30","vendor payment","718.59","EUR","","718.59","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","718.59  EUR_30.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0030","2026-07-30","2026-07-30","vendor payment","753.23","EUR","","753.23","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","753.23 EUR_29.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0031","2026-07-30","2026-07-30","vendor payment","757.41","EUR","","757.41","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","757.41 EUR_28.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0032","2026-07-30","2026-07-30","vendor payment","143.41","EUR","","143.41","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","143,41 EUR_27.07.2026_Hangzhou Miqiu Internet Technology Co., Ltd.pdf","",""
"TXN-0033","2026-07-30","2026-07-30","vendor payment","706.67","EUR","","706.67","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","Mutual","paid","FALSE","706.67 EUR_24.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0034","2026-07-02","2026-07-02","vendor payment","15138.29","EUR","","15138.29","fly fulfillment GmbH","Fulfillment","FF","paid","FALSE","15 138,29 EUR_30.06.2026_fly fulfillment GmbH.pdf","",""
"TXN-0035","2026-07-15","2026-07-15","vendor payment","13460.58","EUR","","13460.58","fly fulfillment GmbH","Fulfillment","FF","paid","FALSE","13 406,58 EUR_14.07.2026_fly fulfillment GmbH.pdf","",""
"TXN-0036","2026-07-09","2026-07-09","vendor payment","29932.99","EUR","","29932.99","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","29 932,99  EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0037","2026-07-09","2026-07-09","vendor payment","29888.48","EUR","","29888.48","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","29 888,48 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0038","2026-07-09","2026-07-09","vendor payment","28806.89","EUR","","28806.89","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","28 806,89 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0039","2026-07-09","2026-07-09","vendor payment","28722.1","EUR","","28722.1","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","28 722,10 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
