"Vendor Name","Type","Product 1","Product 2","Product 3","Active?"
"Guangzhou Lvmengkang","Factory","Jello","","","TRUE"
"Ningbo Xianger","Factory","Mixer","","","TRUE"
"Jiangsu Rikang Glass","Factory","Straw","","","TRUE"
"Procware","Factory","Jello","Mixer","Straw","TRUE"
"Fly Fulfillment","3PL","Jello","Mixer","Straw","TRUE"
"Mutual Trade Union Co.","3PL","Jello","Mixer","Straw","TRUE"
"Gebrüder Weiss","Forwarder","Jello","Mixer","Straw","TRUE"
"Röhlig","Forwarder","Jello","Mixer","Straw","TRUE"
"Shawn Hu","Forwarder","Jello","Mixer","Straw","TRUE"
"Denis","Forwarder","Jello","Mixer","Straw","TRUE"
"Expeditors","Customs Broker","Jello","Mixer","Straw","TRUE"
"LMAR GmbH","Customs Broker","Jello","Mixer","Straw","TRUE"
"Red Kangaroo International Biotechnology (Guangzhou)","Factory","Jello","","","TRUE"
"Jieyang Hardware","Factory","Mixer","","","FALSE"
